scenario,controller,seed,distance_rmse_m,distance_mae_m,max_abs_error_m,bearing_rmse_rad,minimum_distance_m,within_025m_fraction,close_duration_s,stale_duration_s,command_acceleration_rms,command_angular_acceleration_rms,command_effort_proxy
circle,neuro_fuzzy,4,0.030435321852525562,0.013755989529393439,0.21866343734405214,0.00791613779725679,1.490457761233544,1.0,0.0,0.0,0.11612758529067273,0.009227418060051649,8.762868291435653
figure_eight,legacy_neuro_fuzzy,0,0.20642227376520073,0.1806677870318537,0.35282068926360655,0.08614200662733366,1.5,0.7346666666666667,0.0,0.0,0.09872920591981675,0.06785218767580808,6.388968448793712
figure_eight,legacy_neuro_fuzzy,1,0.20642227376520073,0.1806677870318537,0.35282068926360655,0.08614200662733366,1.5,0.7346666666666667,0.0,0.0,0.09872920591981675,0.06785218767580808,6.388968448793712
figure_eight,legacy_neuro_fuzzy,2,0.20642227376520073,0.1806677870318537,0.35282068926360655,0.08614200662733366,1.5,0.7346666666666667,0.0,0.0,0.09872920591981675,0.06785218767580808,6.388968448793712
figure_eight,legacy_neuro_fuzzy,3,0.20642227376520073,0.1806677870318537,0.35282068926360655,0.08614200662733366,1.5,0.7346666666666667,0.0,0.0,0.09872920591981675,0.06785218767580808,6.388968448793712
figure_eight,legacy_neuro_fuzzy,4,0.20642227376520073,0.1806677870318537,0.35282068926360655,0.08614200662733366,1.5,0.7346666666666667,0.0,0.0,0.09872920591981675,0.06785218767580808,6.388968448793712
figure_eight,pid,0,0.057294101751895914,0.04394454093393672,0.23648245092624065,0.017587338047859027,1.4020709087834784,1.0,0.0,0.0,0.1325773720742991,0.0946876393838803,7.447704275017132
figure_eight,pid,1,0.057294101751895914,0.04394454093393672,0.23648245092624065,0.017587338047859027,1.4020709087834784,1.0,0.0,0.0,0.1325773720742991,0.0946876393838803,7.447704275017132
figure_eight,pid,2,0.057294101751895914,0.04394454093393672,0.23648245092624065,0.017587338047859027,1.4020709087834784,1.0,0.0,0.0,0.1325773720742991,0.0946876393838803,7.447704275017132
figure_eight,pid,3,0.057294101751895914,0.04394454093393672,0.23648245092624065,0.017587338047859027,1.4020709087834784,1.0,0.0,0.0,0.1325773720742991,0.0946876393838803,7.447704275017132
figure_eight,pid,4,0.057294101751895914,0.04394454093393672,0.23648245092624065,0.017587338047859027,1.4020709087834784,1.0,0.0,0.0,0.1325773720742991,0.0946876393838803,7.447704275017132
figure_eight,fuzzy,0,0.07539918858614796,0.061583443506462165,0.2481179645987881,0.029121834947414216,1.3865441593291414,1.0,0.0,0.0,0.12146314654002859,0.0782969825637982,7.65523204035807
figure_eight,fuzzy,1,0.07539918858614796,0.061583443506462165,0.2481179645987881,0.029121834947414216,1.3865441593291414,1.0,0.0,0.0,0.12146314654002859,0.0782969825637982,7.65523204035807
figure_eight,fuzzy,2,0.07539918858614796,0.061583443506462165,0.2481179645987881,0.029121834947414216,1.3865441593291414,1.0,0.0,0.0,0.12146314654002859,0.0782969825637982,7.65523204035807
figure_eight,fuzzy,3,0.07539918858614796,0.061583443506462165,0.2481179645987881,0.029121834947414216,1.3865441593291414,1.0,0.0,0.0,0.12146314654002859,0.0782969825637982,7.65523204035807
figure_eight,fuzzy,4,0.07539918858614796,0.061583443506462165,0.2481179645987881,0.029121834947414216,1.3865441593291414,1.0,0.0,0.0,0.12146314654002859,0.0782969825637982,7.65523204035807
figure_eight,neuro_fuzzy,0,0.04513365900393183,0.0323150025851769,0.23313274166967024,0.016617582545941673,1.4441840905847074,1.0,0.0,0.0,0.14491113467178385,0.10171230864120942,7.438252011558703
figure_eight,neuro_fuzzy,1,0.04513365900393183,0.0323150025851769,0.23313274166967024,0.016617582545941673,1.4441840905847074,1.0,0.0,0.0,0.14491113467178385,0.10171230864120942,7.438252011558703
figure_eight,neuro_fuzzy,2,0.04513365900393183,0.0323150025851769,0.23313274166967024,0.016617582545941673,1.4441840905847074,1.0,0.0,0.0,0.14491113467178385,0.10171230864120942,7.438252011558703
figure_eight,neuro_fuzzy,3,0.04513365900393183,0.0323150025851769,0.23313274166967024,0.016617582545941673,1.4441840905847074,1.0,0.0,0.0,0.14491113467178385,0.10171230864120942,7.438252011558703
figure_eight,neuro_fuzzy,4,0.04513365900393183,0.0323150025851769,0.23313274166967024,0.016617582545941673,1.4441840905847074,1.0,0.0,0.0,0.14491113467178385,0.10171230864120942,7.438252011558703
stop_go,legacy_neuro_fuzzy,0,0.23711050937314643,0.2053198003009958,0.2967619039079106,0.003179316354815372,1.5,0.39,0.0,0.0,0.18618207249522084,0.005856182092055181,6.127532872785205
stop_go,legacy_neuro_fuzzy,1,0.23711050937314643,0.2053198003009958,0.2967619039079106,0.003179316354815372,1.5,0.39,0.0,0.0,0.18618207249522084,0.005856182092055181,6.127532872785205
stop_go,legacy_neuro_fuzzy,2,0.23711050937314643,0.2053198003009958,0.2967619039079106,0.003179316354815372,1.5,0.39,0.0,0.0,0.18618207249522084,0.005856182092055181,6.127532872785205
stop_go,legacy_neuro_fuzzy,3,0.23711050937314643,0.2053198003009958,0.2967619039079106,0.003179316354815372,1.5,0.39,0.0,0.0,0.18618207249522084,0.005856182092055181,6.127532872785205
stop_go,legacy_neuro_fuzzy,4,0.23711050937314643,0.2053198003009958,0.2967619039079106,0.003179316354815372,1.5,0.39,0.0,0.0,0.18618207249522084,0.005856182092055181,6.127532872785205
stop_go,pid,0,0.1379742983958286,0.10962742632557344,0.254851207952151,0.0,1.245148792047849,0.934,0.0,0.0,0.24237709785388437,0.0,6.731626861230361
stop_go,pid,1,0.1379742983958286,0.10962742632557344,0.254851207952151,0.0,1.245148792047849,0.934,0.0,0.0,0.24237709785388437,0.0,6.731626861230361
stop_go,pid,2,0.1379742983958286,0.10962742632557344,0.254851207952151,0.0,1.245148792047849,0.934,0.0,0.0,0.24237709785388437,0.0,6.731626861230361
stop_go,pid,3,0.1379742983958286,0.10962742632557344,0.254851207952151,0.0,1.245148792047849,0.934,0.0,0.0,0.24237709785388437,0.0,6.731626861230361
stop_go,pid,4,0.1379742983958286,0.10962742632557344,0.254851207952151,0.0,1.245148792047849,0.934,0.0,0.0,0.24237709785388437,0.0,6.731626861230361
stop_go,fuzzy,0,0.14198294702373165,0.10057189093561814,0.24203465208545616,3.472049335291469e-17,1.2579653479145438,1.0,0.0,0.0,0.22693282200160425,3.651379848515726e-17,6.648346482641658
stop_go,fuzzy,1,0.14198294702373165,0.10057189093561814,0.24203465208545616,3.472049335291469e-17,1.2579653479145438,1.0,0.0,0.0,0.22693282200160425,3.651379848515726e-17,6.648346482641658
stop_go,fuzzy,2,0.14198294702373165,0.10057189093561814,0.24203465208545616,3.472049335291469e-17,1.2579653479145438,1.0,0.0,0.0,0.22693282200160425,3.651379848515726e-17,6.648346482641658
stop_go,fuzzy,3,0.14198294702373165,0.10057189093561814,0.24203465208545616,3.472049335291469e-17,1.2579653479145438,1.0,0.0,0.0,0.22693282200160425,3.651379848515726e-17,6.648346482641658
stop_go,fuzzy,4,0.14198294702373165,0.10057189093561814,0.24203465208545616,3.472049335291469e-17,1.2579653479145438,1.0,0.0,0.0,0.22693282200160425,3.651379848515726e-17,6.648346482641658
stop_go,neuro_fuzzy,0,0.13267435019342647,0.08643121963500251,0.22931992716581706,0.0009081675624459904,1.270680072834183,1.0,0.0,0.0,0.2643162060771733,0.003375298758335239,6.772125981080608
stop_go,neuro_fuzzy,1,0.13267435019342647,0.08643121963500251,0.22931992716581706,0.0009081675624459904,1.270680072834183,1.0,0.0,0.0,0.2643162060771733,0.003375298758335239,6.772125981080608
