scenario,controller,seed,distance_rmse_m,distance_mae_m,max_abs_error_m,bearing_rmse_rad,minimum_distance_m,within_025m_fraction,close_duration_s,stale_duration_s,command_acceleration_rms,command_angular_acceleration_rms,command_effort_proxy
figure_eight,neuro_fuzzy,0,0.03500257923274653,0.026083393995496713,0.17819519853540267,0.01966631192732036,1.4533816738501322,1.0,0.0,0.0,0.13220795749204586,0.08685441983034667,7.780050872964359
stop_go,legacy_neuro_fuzzy,0,0.23490956180507047,0.20556256332996356,0.2967614878473055,0.0031146803838347946,1.500000000027331,0.41133333333333333,0.0,0.0,0.16827861910555378,0.0046277482281498715,5.988815546013502
stop_go,pid,0,0.10507208979350828,0.0871160120402355,0.19073492800748726,2.634071072574724e-07,1.3092650719925127,1.0,0.0,0.0,0.23802281794785515,1.8401998939593664e-06,6.626050028714634
stop_go,fuzzy,0,0.1096418125236066,0.07850463853925509,0.1846981267323624,2.6801276610360383e-07,1.3153018732676376,1.0,0.0,0.0,0.22198728961565276,9.553828464499069e-07,6.557379962556939
stop_go,neuro_fuzzy,0,0.09932297725001941,0.06546850933947088,0.16926074829672677,0.00047814320124293523,1.3307392517032732,1.0,0.0,0.0,0.255447037614619,0.0017109730745314578,6.6432466857720165
noisy_delay,legacy_neuro_fuzzy,0,0.21006737848735088,0.18333901184203122,0.3750706305123084,0.09384663715253322,1.4828076826845191,0.7273333333333334,0.0,0.128,0.733156195036915,2.097861571529473,7.015418775198057
noisy_delay,pid,0,0.06425550243144972,0.0474499416309064,0.2914672703559116,0.029118460917124327,1.3698488538265052,0.9866666666666667,0.0,0.128,0.5114680912125495,0.40962353654014266,8.165268137790337
noisy_delay,fuzzy,0,0.08572049908121303,0.06998653990489387,0.2984018104977959,0.048850120070548744,1.3574301572994458,0.9846666666666667,0.0,0.128,0.43594135248236227,0.27975551087053,8.408770566627467
noisy_delay,neuro_fuzzy,0,0.05797997422102474,0.04113830083849424,0.28576490004346056,0.02743835865072805,1.4073143951955374,0.9873333333333333,0.0,0.128,0.5300373307646894,0.403494708747358,8.22287183000879
target_loss,legacy_neuro_fuzzy,0,0.2519743204644458,0.21367315265950304,0.6664841893219795,0.12267623052010015,1.4802402769080105,0.6293333333333333,0.0,3.456,0.3631011482211985,0.43094882260906836,7.233538138650291
target_loss,pid,0,0.11663232291391783,0.06866698069645179,0.5151094140903405,0.06449196415609068,1.3909758258274414,0.9333333333333333,0.0,3.456,0.3956475250239601,0.3466956987686066,8.189936095493321
target_loss,fuzzy,0,0.12006975005808963,0.07293503044682184,0.5059597276070282,0.08431113889324036,1.419140345617554,0.928,0.0,3.456,0.39188755742617926,0.29401661258031747,8.115122206634576
target_loss,neuro_fuzzy,0,0.10443467343292495,0.05181852928041125,0.5025276960241793,0.062078257109648635,1.4505694216752485,0.94,0.0,3.456,0.41566044968939503,0.37974699677741075,8.22890595856151
wheel_mismatch,legacy_neuro_fuzzy,0,0.22242226912785745,0.19506053486759667,0.40447754038737305,0.12069764773226502,1.4669683207463518,0.7126666666666667,0.0,0.0,0.09997465120612922,0.0815264348331964,9.07811925978896
wheel_mismatch,pid,0,0.05149984941148826,0.040780154361369794,0.18998352216959158,0.07549814057924159,1.440019869807566,1.0,0.0,0.0,0.12884749181618405,0.1062599114863208,10.530910540570952
wheel_mismatch,fuzzy,0,0.07561634393997117,0.06052528323877933,0.2030833667674219,0.1547719493503523,1.3852620698612916,1.0,0.0,0.0,0.1195459115389348,0.0959315017530325,10.840581215899485
wheel_mismatch,neuro_fuzzy,0,0.03687374404193271,0.02585194571328276,0.18651558451060102,0.07330136068820506,1.4409396528447458,1.0,0.0,0.0,0.13735588346715236,0.11252509298972299,10.374726977159245
outliers,legacy_neuro_fuzzy,0,0.20958293013604098,0.18280947024783284,0.3751269564584856,0.09382676000877146,1.4822313050534532,0.7293333333333333,0.0,0.128,0.7326693292689688,2.0972020159303804,7.016903965381796
outliers,pid,0,0.06418066998323765,0.046911510191172845,0.2914672703559138,0.02930334414768553,1.369733861807342,0.9866666666666667,0.0,0.128,0.5095604399153109,0.4090756993303652,8.176012652728966
outliers,fuzzy,0,0.08575638444639012,0.07024214167192014,0.2984018104977959,0.04910897731869063,1.3592852585461048,0.9846666666666667,0.0,0.128,0.433170926113633,0.2793588027257125,8.419820732479712
outliers,neuro_fuzzy,0,0.057983408788503825,0.040883144265159016,0.28576490004346833,0.027641599919382732,1.4082011128840353,0.9873333333333333,0.0,0.128,0.5285059255417205,0.4030535800550032,8.231758715257596
speed_change,legacy_neuro_fuzzy,0,0.27256123438429786,0.2617432977954637,0.36553136179202883,0.008468673937325031,1.500000000027331,0.6433333333333333,0.0,0.0,0.05718819501588919,0.00956438536465884,7.968288689220488
speed_change,pid,0,0.02439478607503639,0.014848694569589033,0.10291307612987133,0.002132270654463347,1.4259100944139456,1.0,0.0,0.0,0.0885837945894401,0.011773490432542277,8.1721131281101
speed_change,fuzzy,0,0.03185671500542651,0.016094416606182278,0.12057983182059151,0.0034805432545036707,1.4185360084417709,1.0,0.0,0.0,0.07935111880608933,0.009814999880923516,8.175917088570937
speed_change,neuro_fuzzy,0,0.019430987731270475,0.006597892069068384,0.09935692758575598,0.002006778107844663,1.4313633114471316,1.0,0.0,0.0,0.09738473400371327,0.012212767083857443,8.17187011278282
